lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Steele,  Sunny, 273, 22.5, , 17, AUS, Australia, , , , , , , , , , 
Furuyama,  Taishi, 274, 22.32, , , JPN, Japan, , , , , , , , , , 
Schaatt,  Sam, 275, 22.19, , , USA, United States, , , , , , , , , , 
Mondani,  Lucas, 276, 21.79, , , SUI, Switzerland, , , , , , , , , , 
Stepanov,  Peresvet, 277, 21.64, , , RUS, Russian Federation, , , , , , , , , , 
Holland,  Tyson, 278, 21.4, , , CAN, Canada, , , , , , , , , , 
Lane,  Charlie, 279, 21.23, , , GBR, United Kingdom, , , , , , , , , , 
Gower,  Brett, 280, 21.06, , , CAN, Canada, , , , , , , , , , 
Skogheim,  Joachim, 281, 20.77, , , NOR, Norway, , , , , , , , , , 
Angelillo,  Dennis, 282, 20.69, , , SUI, Switzerland, , , , , , , , , , 
Otterstad,  Marius, 283, 20.41, , , NOR, Norway, , , , , , , , , , 
Plur De La Rosa,  Joao, 284, 20.01, , 10, GER, Germany, , , , , , , , , , 
Broadbent,  Noel, 285, 19.74, , , SUI, Switzerland, , , , , , , , , , 
Naito,  Takehiro, 286, 19.51, , , JPN, Japan, , , , , , , , , , 
Small,  Jakob, 287, 19.37, , , USA, United States, , , , , , , , , , 
Zürni,  Danjamin, 288, 19.07, , , SUI, Switzerland, , , , , , , , , , 
Burri,  Rafael, 288, 19.07, , , SUI, Switzerland, , , , , , , , , , 
Murbach,  Valentin, 290, 18.88, , , SUI, Switzerland, , , , , , , , , , 
Sukke,  Niklas, 291, 18.34, , , NOR, Norway, , , , , , , , , , 
Palmiter,  Huck, 292, 18.31, , , USA, United States, , , , , , , , , , 
Mazet Brown,  Txema, 293, 18.0, , , NZL, New Zealand, , , , , , , , , , 
Baumann,  Moreno, 294, 17.97, , , SUI, Switzerland, , , , , , , , , , 
Varner,  Justin, 294, 17.97, , , USA, United States, , , , , , , , , , 
Lekang,  Kristian, 296, 17.9, , 31, NOR, Norway, , , , , , , , , , 
Onozato,  Ryu, 297, 17.8, , , JPN, Japan, , , , , , , , , , 
Kurstatscher,  Tim, 298, 17.4, , , GER, Germany, , , , , , , , , , 
Schütz,  Raffael, 299, 17.33, , , SUI, Switzerland, , , , , , , , , , 
Rinehart,  Koen, 300, 17.27, , , USA, United States, , , , , , , , , , 
Augsburger,  Jonas, 301, 17.14, , , SUI, Switzerland, , , , , , , , , , 
Cowan,  Taitten, 302, 17.0, , , USA, United States, , , , , , , , , , 
Fomchenko,  Mihail, 303, 16.89, , , RUS, Russian Federation, , , , , , , , , , 
Minagawa,  Kazutaka, 304, 16.77, , , JPN, Japan, , , , , , , , , , 
Golinczak,  Jan, 305, 16.66, , 13, POL, Poland, Goofy, , Warsaw, , , , , , , 
Danner,  Peter, 306, 16.62, , , USA, United States, , , , , , , , , , 
Hanakata,  Kensuke, 307, 16.58, , , JPN, Japan, , , , , , , , , , 
Capodiferro,  Alessio, 308, 16.42, , , SUI, Switzerland, , , , , , , , , , 
Mogi,  Kenta, 309, 16.29, , , JPN, Japan, , , , , , , , , , 
Uchida,  Yusuke, 310, 16.25, , , JPN, Japan, , , , , , , , , , 
Noda,  Junya, 311, 16.03, , , JPN, Japan, , , , , , , , , , 
Bondi,  Nicolo, 312, 15.94, , , ITA, Italy, , , , , , , , , , 
Buffey,  William, 313, 15.82, Burton Snowboards | Swix | , 18, CAN, Canada, Goofy, , Toronto, , , , , , , 
Pickard,  Andrew, 314, 15.76, , , BEL, Belgium, , , , , , , , , , 
Dibben,  Jace, 315, 15.73, , 19, CAN, Canada, , , , , , , , , , 
Ernst,  Wyatt, 316, 15.7, , , CAN, Canada, , , , , , , , , , 
Karhila,  Roni, 317, 15.62, , , FIN, Finland, , , , , , , , , , 
Dotson,  Aiden, 318, 15.59, , , USA, United States, , , , , , , , , , 
Rustad,  Markus, 319, 15.58, , 24, NOR, Norway, Regular, , Oslo, , , , , , , 
Yamamura,  Haruta, 320, 15.58, , , JPN, Japan, , , , , , , , , , 
Broadbent,  Leon, 321, 15.34, , , SUI, Switzerland, , , , , , , , , , 
Vanderland,  Lucas, 322, 15.03, , , CAN, Canada, , , , , , , , , , 
Hatta,  Toi, 323, 14.98, , , JPN, Japan, , , , , , , , , , 
Frey,  Emil, 324, 14.81, , , GER, Germany, , , , , , , , , , 
Moreno,  Valentin, 325, 14.78, , , ARG, Argentina, , , , , , , , , , 
Trouskie,  Nicholas, 326, 14.74, , , USA, United States, , , , , , , , , , 
Schelling,  Alex, 327, 14.69, , , SUI, Switzerland, , , , , , , , , , 
Seymour,  Bailey, 328, 14.33, , 18, CAN, Canada, , , , , , , , , , 
Rozas,  Luis, 329, 14.3, , , SUI, Switzerland, , , , , , , , , , 
Riley,  Sawyer, 330, 14.15, , , USA, United States, , , , , , , , , , 
Zürcher,  Mischa, 331, 13.84, , , SUI, Switzerland, , , , , , , , , , 
Hayen,  Blake, 332, 13.75, , , USA, United States, , , , , , , , , , 
Jones,  Cooper, 333, 13.51, , , USA, United States, , , , , , , , , , 
Tveiten,  Sindre, 334, 13.44, , 22, NOR, Norway, Goofy, 190, , Hovden, , Sindre Tveiten, , , , 
De Martin,  Tommy, 335, 13.42, , , ITA, Italy, , , , , , , , , , 
N'Diaye,  Elash, 336, 13.36, , , SUI, Switzerland, , , , , , , , , , 
Fantuz,  Dawson, 337, 12.85, , , CAN, Canada, , , , , , , , , , 
Shonk,  Carter, 338, 12.84, , , USA, United States, , , , , , , , , , 
Kaku,  Yusei, 339, 12.77, , , JPN, Japan, , , , , , , , , , 
Oshiro,  Takuya, 340, 12.72, , , JPN, Japan, , , , , , , , , , 
Gaces,  Jonas, 341, 12.68, , , CAN, Canada, , , , , , , , , , 
Teixeira,  Joao, 342, 12.53, , , BRA, Brazil, , , , , , , , , , 
Kanazashi,  Daisuke, 343, 12.44, , , JPN, Japan, , , , , , , , , , 
Shmurikov,  Egor, 344, 12.39, , 17, RUS, Russian Federation, , , , , , , , , , 
Illi,  Konstantin, 345, 12.28, , , GER, Germany, , , , , , , , , , 
McCagherty,  Ethan, 346, 12.15, , , CAN, Canada, , , , , , , , , , 
Tessand,  Jakob, 347, 12.15, , , NOR, Norway, , , , , , , , , , 
Polatty,  Brenner, 348, 11.98, , , USA, United States, , , , , , , , , , 
Iwasawa,  Ryoichi, 349, 11.97, , , JPN, Japan, , , , , , , , , , 
Jörg,  Matti, 350, 11.95, , , SUI, Switzerland, , , , , , , , , , 
Li,  Muyang, 351, 11.79, , , CHN, China, , , , , , , , , , 
Peterson-Zopf,  Dylan, 351, 11.79, , , USA, United States, , , , , , , , , , 
Lotorto,  Alessandro Marco, 351, 11.79, , , SUI, Switzerland, , , , , , , , , , 
Melliger,  Zoel Iago, 354, 11.62, , , SUI, Switzerland, , , , , , , , , , 
Grimsrud,  Per Iver, 355, 11.44,  | , 37, NOR, Norway, Goofy, , Oyer, , , , , , , 
Perroud,  Timothy, 356, 11.38, , , SUI, Switzerland, , , , , , , , , , 
Isaacs,  Rogan, 357, 11.18, , , USA, United States, , , , , , , , , , 
Staib,  Remy, 358, 11.0, , , SUI, Switzerland, , , , , , , , , , 
Gillis,  Daniel, 359, 10.84, , , CAN, Canada, , , , , , , , , , 
Spence,  MacKay, 360, 10.77, , , CAN, Canada, , , , , , , , , , 
Takahashi,  Akira, 361, 10.77, , , JPN, Japan, , , , , , , , , , 
Koeppe,  Shane, 362, 10.76, , , USA, United States, , , , , , , , , , 
Poltera,  Reto, 363, 10.75, , , SUI, Switzerland, , , , , , , , , , 
Diener,  Arvian, 364, 10.71, , , SUI, Switzerland, , , , , , , , , , 
Balmer,  Dia, 364, 10.71, , , SUI, Switzerland, , , , , , , , , , 
Hagen,  Haavard, 366, 10.36, , , NOR, Norway, , , , , , , , , , 
Hennger,  Dexter, 367, 10.29, , , CAN, Canada, , , , , , , , , , 
Tsujii,  Yoshihide, 368, 10.17, , , JPN, Japan, , , , , , , , , , 
Fischer,  Cedric, 369, 10.14, , , SUI, Switzerland, , , , , , , , , , 
McDonald,  Jason, 370, 9.93, , , USA, United States, , , , , , , , , , 
Murakami,  Shio, 371, 9.87, , , JPN, Japan, , , , , , , , , , 
Haberzettl,  Jasper, 372, 9.86, , , GER, Germany, , , , , , , , , , 
Mueller,  Florian, 373, 9.77, , , GER, Germany, , , , , , , , , , 
Soelter,  Gavin, 374, 9.71, , , USA, United States, , , , , , , , , , 
Knöri,  Morris, 375, 9.59, , , SUI, Switzerland, , , , , , , , , , 
Nordgaard,  Trym, 376, 9.56, Lib Technologies | Protec | Quiksilver | Vans | , 28, NOR, Norway, Regular, 177, Gjettum, Kirkerud, , , , , , 
Okada,  Hideyo, 377, 9.35, , , JPN, Japan, , , , , , , , , , 
Pünter,  Tom, 378, 9.32, , , SUI, Switzerland, , , , , , , , , , 
Stalder,  Timon, 378, 9.32, , , SUI, Switzerland, , , , , , , , , , 
Frasca,  Marco, 380, 9.11, , , SUI, Switzerland, , , , , , , , , , 
Feins,  Jonny, 381, 9.03, , , USA, United States, , , , , , , , , , 
Nakakubo,  Rui, 382, 9.02, , , JPN, Japan, , , , , , , , , , 
Suenami,  Ryoga, 383, 8.99, , , JPN, Japan, , , , , , , , , , 
Downs,  Jayce, 384, 8.8, , , CAN, Canada, , , , , , , , , , 
Groterud,  Magnus, 385, 8.67, , , NOR, Norway, , , , , , , , , , 
Zürcher,  Robin, 386, 8.53, , , SUI, Switzerland, , , , , , , , , , 
Voegtle,  Declan, 387, 8.37, , , USA, United States, , , , , , , , , , 
Ineichen,  Leander, 388, 8.27, , 12, SUI, Switzerland, Goofy, , Baeretswil, , , , , , , 
Fischer,  Patrice, 388, 8.27, , , SUI, Switzerland, , , , , , , , , , 
Grimm,  Jasper, 390, 8.19, , , USA, United States, , , , , , , , , , 
Campbell,  Senna, 391, 8.14, , , CAN, Canada, , , , , , , , , , 
Chemodurov,  Yuriy, 392, 8.09, , 30, RUS, Russian Federation, Goofy, , Yushno-Sakhalinsk, , , , , , , 
Aalto,  Roni, 393, 8.06, , , FIN, Finland, , , , , , , , , , 
Casas,  Orion, 393, 8.06, , , USA, United States, , , , , , , , , , 
Zurek,  Kameron, 395, 7.86, , , USA, United States, , , , , , , , , , 
Christensen,  Christian, 396, 7.79, , , NOR, Norway, , , , , , , , , , 
Hitz,  Nando, 397, 7.75, , , SUI, Switzerland, , , , , , , , , , 
Golland,  Carlo Caetano, 397, 7.75, , , SUI, Switzerland, , , , , , , , , , 
Brunner,  Pawel, 399, 7.75, , , SUI, Switzerland, , , , , , , , , , 
Welch,  Bryce, 400, 7.73, , , USA, United States, , , , , , , , , , 
Hietikko,  Jere, 401, 7.66, , , FIN, Finland, , , , , , , , , , 
Kashimura,  Kazushige, 402, 7.58, , , JPN, Japan, , , , , , , , , , 
Campbell,  Cobi, 403, 7.32, , , CAN, Canada, , , , , , , , , , 
Shonk,  Cooper, 404, 7.32, , , USA, United States, , , , , , , , , , 
Ganserer,  Lenz, 405, 7.29, , , GER, Germany, , , , , , , , , , 
Sekiguchi,  Masahiro, 406, 7.28, , , JPN, Japan, , , , , , , , , , 
Müller,  Max, 407, 7.24, , , SUI, Switzerland, , , , , , , , , , 
Damiano,  Boomer, 408, 7.12, , , USA, United States, , , , , , , , , , 
Vik,  Sebastian, 409, 7.08, , , NOR, Norway, , , , , , , , , , 
Alberti,  Maxime, 410, 7.0, , , SUI, Switzerland, , , , , , , , , , 
Imper,  Dea Manel, 411, 6.74, , , SUI, Switzerland, , , , , , , , , , 
Ruckstuhl,  Noa, 411, 6.74, , , SUI, Switzerland, , , , , , , , , , 
Meier,  Felix, 411, 6.74, , , SUI, Switzerland, , , , , , , , , , 
Davidson,  Zander, 414, 6.52, , , USA, United States, , , , , , , , , , 
Wysock,  Brogan, 415, 6.5, , , USA, United States, , , , , , , , , , 
Stamerra,  Damian, 416, 6.41, , , SUI, Switzerland, , , , , , , , , , 
Usui,  Kazuma, 417, 6.36, , , JPN, Japan, , , , , , , , , , 
Keul,  Ola, 418, 6.11, , , NOR, Norway, , , , , , , , , , 
Rokosh,  Max, 419, 6.03, , , CAN, Canada, , , , , , , , , , 
Derungs,  Laurin, 420, 5.98, , , SUI, Switzerland, , , , , , , , , , 
Yukimitsu,  Koji, 421, 5.95, , , JPN, Japan, , , , , , , , , , 
Wakat,  Gus, 422, 5.94, , , USA, United States, , , , , , , , , , 
Liu,  Zhengtong, 423, 5.8, , , CHN, China, , , , , , , , , , 
Graf,  Vincent, 424, 5.73, , , SUI, Switzerland, , , , , , , , , , 
Kohl,  Oscar Maria, 424, 5.73, , , SUI, Switzerland, , , , , , , , , , 
Matsuoka,  Daisuke, 426, 5.68, , , JPN, Japan, , , , , , , , , , 
Luz De Carvalho,  Jêremias, 427, 5.66, , , SUI, Switzerland, , , , , , , , , , 
Brune Olsen,  Anders Johannes, 428, 5.55, , , NOR, Norway, , , , , , , , , , 
Tulp,  Tate, 429, 5.36, , , USA, United States, , , , , , , , , , 
Wick,  Nando, 430, 5.23, , , SUI, Switzerland, , , , , , , , , , 
Gillis,  Eric, 431, 5.2, , , CAN, Canada, , , , , , , , , , 
Städler,  Jonas, 432, 5.11, , , SUI, Switzerland, , , , , , , , , , 
Somaini,  Dario, 433, 4.98, , , SUI, Switzerland, , , , , , , , , , 
Bormann,  Philipp, 434, 4.84, , , GER, Germany, , , , , , , , , , 
Stroker,  Elijah, 435, 4.8, , , USA, United States, , , , , , , , , , 
Hofmann,  Levin, 436, 4.73, , , SUI, Switzerland, , , , , , , , , , 
Bachman,  Quinn, 437, 4.58, , , CAN, Canada, , , , , , , , , , 
Yato,  Yuya, 438, 4.55, , , JPN, Japan, , , , , , , , , , 
Vaagsdal,  Mathias, 439, 4.49, , , NOR, Norway, , , , , , , , , , 
Ledergerber,  Finn, 440, 4.48, , , SUI, Switzerland, , , , , , , , , , 
Pisarev,  Alexander, 441, 4.38, , , CAN, Canada, , , , , , , , , , 
Hashimoto,  Toshimasa, 442, 4.35, , , JPN, Japan, , , , , , , , , , 
Haberzettl,  Vincent, 443, 4.23, , , SUI, Switzerland, , , , , , , , , , 
Steen Ahlstrom,  Oliver, 444, 4.09, , , NOR, Norway, , , , , , , , , , 
TALBOT-JONES,  Jonathan, 445, 4.01, , , CAN, Canada, , , , , , , , , , 
Fitze,  Luan, 446, 3.98, , , SUI, Switzerland, , , , , , , , , , 
Mostovoi,  Konstantin, 447, 3.97, , , RUS, Russian Federation, , , , , , , , , , 
Fridbjornsson,  Benedikt, 448, 3.97, Red Bull | Union Bindings | , 16, ISL, Iceland, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, , , 
Binggeli,  Nik, 449, 3.81, , , SUI, Switzerland, , , , , , , , , , 
Caduff,  Silas Mael, 450, 3.73, , , SUI, Switzerland, , , , , , , , , , 
Grummer,  Chance, 451, 3.7, , , USA, , , , , , , , , , , 
Krayer,  Julius, 452, 3.48, , , SUI, , , , , , , , , , , 
Ayyobi,  Zacharyah, 453, 3.43, , , CAN, , , , , , , , , , , 
Rothenbühler,  Luca, 454, 3.43, , , SUI, , , , , , , , , , , 
Fidalgo Dias,  Rafael, 455, 3.24, , , POR, , , , , , , , , , , 
Rinehart,  Kaias, 456, 3.16, , , USA, , , , , , , , , , , 
Arahira,  Rei, 457, 3.07, , , JPN, , , , , , , , , , , 
Zama,  Yoichiro, 458, 3.07, , , JPN, , , , , , , , , , , 
Martins,  Edi, 459, 2.99, , , POR, , , , , , , , , , , 
Cornell,  Cedric, 460, 2.95, , , NOR, , , , , , , , , , , 
Suenami,  Yuma, 461, 2.9, , , JPN, , , , , , , , , , , 
Gasser,  Lars, 462, 2.82, , , SUI, , , , , , , , , , , 
Insirello,  Marco, 463, 2.74, , , ITA, , , , , , , , , , , 
Kristiansen Rue,  Ulrich, 464, 2.69, , , NOR, , , , , , , , , , , 
Cookshaw,  Simon, 465, 2.67, , , CAN, , , , , , , , , , , 
Polatty,  Rylan, 466, 2.62, , , USA, , , , , , , , , , , 
Schroeter,  Luc, 467, 2.49, , , SUI, , , , , , , , , , , 
Ganserer,  Matteo, 468, 2.41, , , GER, , , , , , , , , , , 
Salkeld,  Florin, 469, 2.24, , , SUI, , , , , , , , , , , 
Pfister,  Joel, 469, 2.24, , , SUI, , , , , , , , , , , 
Lee,  Aiden, 471, 2.19, , , CAN, , , , , , , , , , , 
Erland,  Samuel, 472, 2.09, , , USA, , , , , , , , , , , 
Tanaka,  Kaisei, 473, 1.9, , , JPN, , , , , , , , , , , 
Kamakura,  Sora, 474, 1.82, , , JPN, , , , , , , , , , , 
D'Amico,  Manfredi, 475, 1.74, , , ITA, , , , , , , , , , , 
Curiger,  Nico, 475, 1.74, , , SUI, , , , , , , , , , , 
O Neill,  Owen, 477, 1.57, , , USA, , , , , , , , , , , 
Lindgren,  Brody, 478, 1.45, , , CAN, , , , , , , , , , , 
Sivertzen,  Stian, 479, 1.45, Burton Snowboards | , 31, NOR, , Regular, , Kongsberg, , , , , , , 
Niwa,  Jake, 480, 1.34, , , CAN, , , , , , , , , , , 
Teksle,  Petter, 481, 1.32, , , NOR, , , , , , , , , , , 
Mochizuki,  Shinya, 482, 1.26, , , JPN, , , , , , , , , , , 
Krauer,  Moritz, 483, 1.26, , , SUI, , , , , , , , , , , 
Oehler,  Finn, 484, 1.24, , , SUI, , , , , , , , , , , 
Kawaguchi,  Kenji, 485, 1.21, , , JPN, , , , , , , , , , , 
Copeland,  Cain, 486, 1.04, , , USA, , , , , , , , , , , 
Van De Langenberg,  Elijah, 487, 1.0, , , NED, , , , , , , , , , , 
Noel,  Maxim, 488, 0.75, , , FRA, , , , , , , , , , , 
Bladon,  Daxon, 489, 0.73, , , CAN, , , , , , , , , , , 
Brack,  Ethan, 490, 0.52, , , USA, , , , , , , , , , , 
Steiger,  Otto, 491, 0.5, , , GBR, , , , , , , , , , , 
Caprez,  Mauro, 492, 0.25, , , SUI, , , , , , , , , , , 
Hovde Pettersen,  Adrian, 493, 0.0, , , NOR, , , , , , , , , , , 
