lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Livingston,  Derek, 42, 297.38, Smith | Vans | YES Snowboards | 686 | , 29, CAN, Canada, Goofy, 5ft. 8ft.ft., Aurora, Blue Mountain - Collingwood Ontario 
Alpine skiclub - Collingwood Ontario, https://www.facebook.com/pages/Derek-Livingston/218789968196134?ref=hl, https://www.facebook.com/dereklivingston, www.twitter.com/derekliving, , , 
Kweon,  Leejun, 43, 290.44, , 23, KOR, Korea, Republic of, Regular, 5.9ft, , Welihili Park, none, none, www.twitter.com/none, , , 
Ivanov,  Victor, 44, 288.8,  | , 21, SUI, Switzerland, Regular, 175cm, Dielsdorf, , victorivanov.ch, Victor Ivanov, , , , 
Hasler,  Jonas, 45, 286.41, , , SUI, Switzerland, , , , , , , , , , 
Kikuchihara,  Koyata, 46, 284.58, , , JPN, Japan, , , , , , , , , , 
Stante,  Tit, 47, 266.0,  | , 22, SLO, SLO, Goofy, 176, Celje, ROGLA Slovenia, www.tit-o.si, , , , , 
Reeves,  Joshua, 48, 265.53, , , CAN, Canada, , , , , , , , , , 
Pershad,  Kiran, 49, 260.73, NOW Bindings | Sanction Snow | YES Snowboards | , 20, CAN, Canada, Goofy, , Thornhill, Mt St Louis Moonstone| Ontario| Canada, instagram.com/kiwi_the_terrible/, www.facebook.com/Kiwi.the.Terrible, , , , 
Tourki,  Liam, 50, 253.62,  | , 21, FRA, France, Regular, 170, Doussard, Les 7 laux
7 laux, , https://www.facebook.com/pages/Tourki-liam/219574808212413?fref=ts, , , , 
Gennero,  Lorenzo, 51, 245.05, Capita | Union Bindings | , 23, ITA, Italy, Regular, 180, Piobesi Torinese, Bardonecchia, , , , , , 
Golay,  Eliot, 52, 239.91, , , SUI, Switzerland, , , , , , , , , , 
Lenchevskiy,  Yaroslav, 53, 239.01, , , RUS, Russian Federation, , , , , , , , , , 
Gu,  Ao, 54, 234.52, , , CHN, China, , , , , , , , , , 
Goulet,  Hunter, 55, 233.67, Burton Snowboards | , 16, USA, United States, Goofy, 5ft.8, , Park City, instagram@huntergoulet, , , , , 
Gray,  Charles, 56, 229.48, , , USA, United States, , , , , , , , , , 
Gill,  Liam, 57, 228.58, , 17, CAN, Canada, , , , , , , , , , 
Lechner,  Florian, 58, 221.37, , 14, GER, Germany, Regular, , , , , , , , , 
Collins,  Jack, 59, 210.51, , 22, CAN, Canada, Goofy, 4ft.5ft.ft., Calgary, CANADA OLYMPIC PARK, , , , , , 
Suikov,  Maksim, 60, 204.93, , , RUS, Russian Federation, , , , , , , , , , 
Fan,  Xiaobing, 61, 193.02, , , CHN, China, , , , , , , , , , 
Wang,  Xin, 62, 190.83, , , CHN, China, , , , , , , , , , 
Choi,  Yoonjae, 63, 189.09, , , KOR, Korea, Republic of, , , , , , , , , , 
Adams,  Braeden, 64, 186.47, , 22, CAN, Canada, , , , , , , , , , 
Giblin,  Parker, 65, 183.53, , , USA, United States, , , , , , , , , , 
Cavanagh,  Connor, 66, 174.91, , , USA, United States, , , , , , , , , , 
Seo,  Gyeong, 67, 173.74, , , KOR, Korea, Republic of, , , , , , , , , , 
Eldood,  Kamal, 68, 172.14, , , CAN, Canada, , , , , , , , , , 
Hirano,  Manato, 69, 169.24, , , JPN, Japan, , , , , , , , , , 
Petrick,  Ryder, 70, 169.18, , 19, CAN, Canada, , , , , , , , , , 
Ito,  Aito, 71, 168.97, , , JPN, Japan, , , , , , , , , , 
Depriest,  Brooklyn, 72, 168.85, Volcom | , 14, USA, United States, Regular, , Rocklin, , , , , , , 
Abozovik,  Nikita, 73, 168.77, , , RUS, Russian Federation, , , , , , , , , , 
Schwan,  Philip, 74, 167.95, Rossignol | Vans | , 20, GER, Germany, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , , , 
Serrano,  Shane, 75, 167.15, Aspen/Snowmass | Salomon | , 25, USA, United States, Regular, , Basking Ridge, , , , , , , 
Craig,  Fletcher, 76, 163.53, , 19, NZL, New Zealand, , , , , , , , , , 
